Health Facility,Station,Year,Week,Pred_Cases,confidence_rate,confidence_pct,alert_threshold,action_threshold
CHINYANI FTC,CHINYANI FTC,2025,14,11,0.8702615808557581,87.0,31.90909090909091,31.90909090909091
CHINYANI FTC,CHINYANI FTC,2025,15,12,0.8639502406120301,86.4,63.0,63.0
CHINYANI FTC,CHINYANI FTC,2025,16,10,0.8319924019478462,83.2,55.18181818181818,55.18181818181818
CHINYANI FTC,CHINYANI FTC,2025,17,11,0.8873082679614686,88.7,88.45454545454545,88.45454545454545
CHINYANI FTC,CHINYANI FTC,2025,18,9,0.9414314047804155,94.1,80.36363636363636,80.36363636363636
CHINYANI FTC,CHINYANI FTC,2025,19,9,0.871263794160225,87.1,93.36363636363636,93.36363636363636
CHINYANI FTC,CHINYANI FTC,2025,20,7,0.8315483093261717,83.2,47.18181818181818,47.18181818181818
CHINYANI FTC,CHINYANI FTC,2025,21,7,0.8661117093316439,86.6,46.81818181818182,46.81818181818182
CHINYANI FTC,CHINYANI FTC,2025,22,6,0.9012720743815104,90.1,30.272727272727273,30.272727272727273
CHINYANI FTC,CHINYANI FTC,2025,23,5,0.8589964133042556,85.9,19.09090909090909,19.09090909090909
CHINYANI FTC,CHINYANI FTC,2025,24,5,0.8114814440409344,81.1,16.09090909090909,16.09090909090909
CHINYANI FTC,CHINYANI FTC,2025,25,5,0.8054994702339171,80.5,9.272727272727273,9.272727272727273
CHINYANI FTC,CHINYANI FTC,2025,26,5,0.7321311076482135,73.2,6.7272727272727275,6.7272727272727275
CHINYANI FTC,CHINYANI FTC,2025,27,5,0.6911068201065063,69.1,5.636363636363637,5.636363636363637
CHINYANI FTC,CHINYANI FTC,2025,28,5,0.3,30.0,4.636363636363637,4.636363636363637
CHINYANI FTC,CHINYANI FTC,2025,29,4,0.7240523179372151,72.4,5.363636363636363,5.363636363636363
CHINYANI FTC,CHINYANI FTC,2025,30,4,0.4469852983951568,44.7,2.090909090909091,2.090909090909091
CHINYANI FTC,CHINYANI FTC,2025,31,4,0.4786117315292358,47.9,2.272727272727273,2.272727272727273
